1,Steve Biras\birasst01,22,CLE,2,0,2,,88,1.000,1.000,.263,1.000,.330,1.000,.360,2.000,.689,482,.000,1.0,0.1,,.000,.000,,/4
2,Babe Martin\martiba01,24,SLB,4,1,3,81.2,97,.750,.750,.276,.750,.344,1.000,.377,1.750,.721,383,.996,1.5,0.2,4.000,.250,.250,,/7O
3,Johnny Johnson*\johnsjo03,29,NYY,6,3,2,18.0,94,.600,.500,.271,.500,.339,.667,.371,1.167,.710,227,.939,1.0,0.1,1.333,.167,.167,,1
4,Hack Miller\milleha02,31,DET,6,4,1,6.8,95,.000,.200,.274,.333,.341,.800,.374,1.133,.715,212,.720,0.6,0.1,1.250,.800,.600,.0,/2
5,Bubba Floyd\floydbu01,27,DET,10,5,3,16.2,95,.444,.444,.274,.500,.341,.556,.374,1.056,.715,195,.927,1.2,0.1,1.200,.222,.111,,/6
6,Dick Wakefield*\wakefdi01,23,DET,332,185,73,10.7,95,.366,.355,.274,.464,.341,.576,.374,1.040,.715,190,.856,35.8,3.7,1.162,.420,.221,3.4,7O
7,Al Simmons\simmoal01,42,PHA,6,4,2,13.5,89,.500,.500,.264,.500,.331,.500,.361,1.000,.692,190,.901,0.6,0.1,.750,.000,.000,,/7O
8,Bob Johnson\johnsbo01,38,BOS,626,378,116,8.3,91,.347,.324,.267,.431,.334,.528,.364,.959,.698,174,.789,55.6,5.7,.987,.375,.204,3.6,*7O
9,Bobby Doerr\doerrbo01,26,BOS,536,336,99,8.0,91,.325,.325,.267,.399,.334,.528,.364,.927,.698,165,.776,39.2,4.1,.945,.333,.203,7.5,*4
10,Tom Hafey\hafeyto01,30,SLB,15,9,3,9.0,97,.500,.357,.276,.400,.344,.500,.377,.900,.721,149,.813,1.0,0.1,.889,.214,.143,,/O739
11,Jeff Heath*\heathje01,29,CLE,170,105,29,7.5,88,.336,.331,.263,.402,.329,.490,.359,.892,.689,158,.755,11.4,1.2,.875,.272,.159,.0,O7/89
12,Stan Spence*\spencst01,29,WSH,669,421,109,7.0,87,.310,.316,.262,.391,.328,.486,.358,.877,.686,155,.733,42.5,4.4,.856,.280,.171,5.1,*8O/3
13,Nick Etten*\ettenni01,30,NYY,680,427,106,6.7,94,.280,.293,.271,.399,.339,.466,.371,.865,.710,143,.717,36.2,3.8,.879,.346,.173,6.8,*3
14,Hal Wagner*\wagneha01,28,TOT,262,157,40,6.9,91,.349,.330,.267,.415,.333,.436,.364,.852,.698,144,.727,14.7,1.5,.852,.233,.106,1.0,2
15,Johnny Lindell\lindejo01,27,NYY,646,441,102,6.3,94,.308,.300,.271,.351,.339,.500,.371,.851,.710,138,.690,26.2,2.7,.791,.276,.200,7.8,*O8/79
16,Snuffy Stirnweiss\stirnsn01,25,NYY,723,461,122,7.2,94,.359,.319,.271,.389,.339,.460,.371,.849,.710,139,.740,33.3,3.5,.910,.323,.142,14.0,*4
17,Lou Boudreau\boudrlo01,26,CLE,681,425,104,6.6,88,.347,.327,.263,.406,.329,.437,.360,.843,.689,145,.712,38.2,4.0,.840,.248,.110,4.7,*6/2
18,Bob Collins\colliri03,34,NYY,4,2,1,13.5,94,.333,.333,.271,.500,.339,.333,.371,.833,.709,138,.901,0.3,0.0,1.000,.333,.000,,/2
19,Vern Stephens\stephve01,23,SLB,628,406,93,6.2,97,.297,.293,.276,.365,.344,.462,.377,.826,.721,129,.686,21.3,2.2,.803,.279,.168,3.6,*6
20,Roy Cullenbine#\cullero01,30,CLE,666,430,95,6.0,88,.289,.284,.263,.380,.329,.445,.359,.825,.689,139,.672,31.8,3.3,.809,.313,.161,6.4,*O9/8
21,Al Zarilla*\zarilal01,25,SLB,330,212,47,6.0,97,.321,.299,.276,.375,.344,.448,.377,.823,.721,128,.673,10.5,1.1,.800,.250,.149,1.7,O7/98
22,Ken Keltner\keltnke01,27,CLE,632,436,94,5.8,88,.294,.295,.263,.355,.329,.466,.359,.821,.689,137,.662,26.5,2.8,.747,.265,.171,6.1,*5
23,Hersh Martin#\martihe01,34,NYY,368,239,54,6.1,94,.307,.302,.271,.371,.339,.445,.371,.816,.710,130,.681,12.4,1.3,.787,.256,.143,6.4,O7/8
24,Dick Siebert*\siebedi01,32,PHA,535,335,77,6.2,89,.308,.306,.264,.387,.331,.423,.361,.810,.692,134,.688,22.8,2.4,.794,.254,.118,3.0,3O79
25,Pinky Higgins\higgipi01,35,DET,640,415,86,5.6,95,.307,.297,.274,.392,.341,.409,.374,.801,.715,124,.646,21.2,2.2,.762,.262,.112,5.1,*5
26,Carl Scheib\scheica01,17,PHA,10,7,2,7.7,89,.375,.300,.264,.300,.331,.500,.361,.800,.692,129,.766,0.4,0.0,.714,.200,.200,,1
27,Rudy York\yorkru01,30,DET,652,443,90,5.5,95,.291,.276,.274,.353,.341,.439,.374,.792,.715,121,.638,15.4,1.6,.738,.283,.163,7.8,*3
28,Milt Byrnes*\byrnemi01,27,SLB,487,314,61,5.3,97,.329,.295,.276,.396,.344,.393,.377,.789,.721,119,.618,13.7,1.4,.735,.251,.098,1.6,*O879
29,Bobby Estalella\estalbo01,33,PHA,574,378,76,5.4,89,.328,.298,.264,.374,.331,.409,.361,.783,.692,126,.633,17.9,1.9,.722,.227,.111,4.2,*O89/37
30,Oscar Grimes\grimeos01,29,NYY,456,289,60,5.6,94,.317,.279,.271,.377,.339,.403,.371,.780,.710,120,.647,11.8,1.2,.794,.292,.124,5.5,56
31,Jim Tabor\taborji01,27,BOS,482,342,64,5.1,91,.289,.285,.267,.334,.334,.445,.364,.779,.698,122,.602,11.0,1.2,.688,.231,.160,6.1,*5
32,Boom-Boom Beck\beckbo01,39,DET,23,17,3,4.8,95,.350,.318,.274,.318,.341,.455,.374,.773,.715,115,.576,0.4,0.0,.625,.136,.136,,1
33,Pete Fox\foxpe01,35,BOS,535,362,73,5.5,91,.336,.315,.267,.354,.334,.419,.364,.773,.698,121,.634,13.0,1.4,.688,.169,.105,1.8,*O9
34,Paul O'Dea*\o'deapa01,23,CLE,198,132,25,5.1,88,.362,.318,.263,.401,.329,.370,.360,.771,.689,125,.608,7.1,0.8,.672,.185,.052,.0,O7/9318
35,Al Lyons\lyonsal01,25,NYY,26,17,4,6.4,94,.429,.346,.271,.346,.339,.423,.371,.769,.710,116,.697,0.4,0.0,.647,.077,.077,,1
36,Jimmy Grant*\grantji02,25,CLE,113,73,14,5.2,88,.333,.273,.263,.357,.329,.404,.359,.761,.689,121,.613,2.7,0.3,.750,.253,.131,1.0,4/5
37,Mike Kreevich\kreevmi01,36,SLB,441,306,56,5.0,97,.311,.301,.276,.348,.344,.405,.377,.754,.721,109,.592,3.4,0.4,.649,.172,.104,3.8,O8/9
38,Russ Derry*\derryru01,27,NYY,135,86,16,5.0,94,.275,.254,.271,.366,.339,.386,.371,.752,.710,112,.600,2.4,0.2,.765,.316,.132,1.6,O79
39,Jim Pruett\pruetji01,26,PHA,6,4,0,0.0,89,.250,.250,.264,.500,.331,.250,.361,.750,.692,120,.000,0.4,0.0,.750,.250,.000,,/2
40,Hank Ruszkowski\ruszkha01,18,CLE,8,6,1,4.5,88,.429,.375,.263,.375,.329,.375,.360,.750,.689,118,.550,0.1,0.0,.500,.000,.000,,/2
41,Dizzy Trout\troutdi01,29,DET,144,101,18,4.8,95,.310,.271,.274,.317,.341,.429,.374,.745,.715,107,.580,0.5,0.0,.687,.241,.158,2.9,1
42,Joe Kuhel*\kuheljo01,38,WSH,597,401,71,4.8,87,.295,.278,.262,.364,.328,.378,.358,.742,.686,117,.577,13.6,1.4,.691,.241,.100,5.9,*3
43,Ellis Clary\claryel01,27,SLB,62,37,7,5.1,97,.325,.265,.276,.410,.344,.327,.377,.736,.721,106,.607,1.1,0.1,.806,.327,.061,.0,5/4
44,Bill LeFebvre*\lefebbi01,28,WSH,75,47,8,4.6,87,.302,.258,.262,.378,.328,.355,.358,.733,.686,115,.560,1.7,0.2,.723,.290,.097,,1/3
45,George McQuinn*\mcquige02,34,SLB,623,412,69,4.5,97,.274,.250,.276,.357,.344,.376,.377,.733,.721,104,.552,5.0,0.5,.719,.293,.126,5.9,*3
46,Thurman Tucker*\tucketh01,26,CHW,504,335,58,4.7,90,.312,.287,.266,.368,.332,.361,.363,.729,.695,110,.568,7.6,0.8,.656,.204,.074,3.5,*8O
47,Milo Candini\candimi01,26,WSH,40,28,4,3.9,87,.385,.313,.262,.353,.328,.375,.358,.728,.686,112,.480,0.6,0.1,.636,.094,.063,,1
48,George Metkovich*\metkoca01,23,BOS,587,412,71,4.7,91,.296,.277,.267,.319,.334,.406,.364,.725,.698,107,.565,2.6,0.3,.652,.202,.129,10.6,8O3/9
49,Wally Moses*\moseswa01,33,CHW,588,393,71,4.9,90,.288,.280,.266,.345,.332,.379,.363,.725,.695,109,.586,6.0,0.6,.687,.222,.099,5.3,*O9
50,Oris Hockett*\hockeor01,34,CLE,497,346,57,4.5,88,.305,.289,.263,.339,.329,.381,.359,.720,.689,109,.545,5.3,0.6,.610,.166,.092,1.8,*O87/9
51,Ralph Hodgin*\hodgira01,29,CHW,497,345,58,4.6,90,.302,.295,.266,.333,.332,.385,.363,.718,.695,106,.554,2.7,0.3,.612,.140,.090,1.5,57O
52,Mickey Rocco*\roccomi01,28,CLE,722,509,81,4.3,88,.273,.266,.263,.325,.329,.392,.360,.717,.689,108,.530,5.2,0.6,.620,.205,.126,6.1,*3
53,Joe Cronin\cronijo01,37,BOS,231,161,23,3.9,91,.246,.241,.267,.358,.334,.356,.364,.714,.698,105,.480,2.7,0.3,.641,.277,.115,1.7,3
54,Preston Gomez\gomezpr01,21,WSH,7,5,1,5.4,87,.667,.286,.262,.286,.328,.429,.358,.714,.686,107,.630,0.0,0.0,.600,.143,.143,,/46
55,Chet Laabs\laabsch01,32,SLB,235,163,25,4.2,97,.258,.234,.276,.330,.344,.378,.377,.709,.721,96,.512,-0.8,-0.1,.677,.299,.144,3.8,O79/8
56,Don Savage\savagdo01,25,NYY,262,187,29,4.2,94,.304,.264,.271,.323,.339,.385,.371,.708,.710,99,.518,-1.3,-0.1,.611,.205,.121,1.6,5
57,Doc Cramer*\cramedo01,38,DET,626,430,71,4.5,95,.301,.292,.274,.337,.341,.369,.374,.706,.715,97,.546,-3.7,-0.4,.601,.142,.076,3.0,*8O
58,Hal Trosky*\troskha01,31,CHW,560,394,60,4.1,90,.241,.241,.266,.327,.332,.374,.363,.701,.695,102,.509,2.2,0.2,.635,.260,.133,4.6,*3
59,George Myatt*\myattge01,30,WSH,620,426,66,4.2,87,.310,.284,.262,.357,.328,.342,.358,.699,.686,104,.517,5.1,0.5,.644,.188,.058,.0,*46/O9
60,Chuck Hostetler*\hostech01,40,DET,292,200,32,4.3,95,.338,.298,.274,.350,.341,.347,.374,.697,.715,95,.532,-1.7,-0.2,.582,.128,.049,.0,O9/87
61,Eddie Lopat*\lopated01,26,CHW,87,58,10,4.7,90,.329,.309,.266,.349,.332,.346,.363,.695,.695,100,.566,-0.2,-0.0,.579,.099,.037,,1
62,Lou Finney*\finnelo01,33,BOS,277,190,30,4.3,91,.295,.287,.267,.347,.334,.347,.364,.693,.698,99,.525,0.1,0.0,.594,.155,.060,.0,3/O79
63,Jim Bucher*\bucheji01,33,BOS,302,214,32,4.0,91,.277,.274,.267,.326,.334,.365,.364,.690,.698,98,.501,-1.5,-0.2,.581,.159,.090,3.4,54
64,Ed Levy\levyed01,27,NYY,163,123,17,3.7,94,.254,.242,.271,.270,.339,.418,.371,.689,.710,93,.465,-2.5,-0.3,.588,.216,.176,1.6,7O
65,Pat Seerey\seerepa01,21,CLE,365,277,38,3.7,88,.285,.234,.263,.276,.329,.412,.360,.689,.689,99,.461,-2.8,-0.3,.580,.228,.178,.0,O78/9
66,Mark Christman\chrisma01,30,SLB,607,429,64,4.0,97,.282,.271,.276,.332,.344,.353,.377,.684,.721,90,.500,-7.1,-0.8,.587,.174,.082,5.5,*5/3
67,Grey Clarke\clarkgr01,31,CHW,194,137,18,3.6,90,.270,.260,.266,.352,.332,.331,.363,.684,.695,97,.442,0.6,0.1,.559,.178,.071,,5
68,Myril Hoag\hoagmy01,36,TOT,367,254,37,3.9,88,.297,.277,.264,.349,.330,.335,.360,.684,.690,99,.488,0.5,0.0,.585,.166,.058,1.8,8/9
69,Rex Cecil*\cecilre01,27,BOS,22,15,2,3.6,91,.294,.278,.267,.350,.334,.333,.364,.683,.698,96,.449,0.0,0.0,.615,.167,.056,,1
70,Frankie Hayes\hayesfr01,29,PHA,648,462,67,3.9,89,.257,.248,.264,.315,.331,.367,.361,.682,.692,97,.487,-3.7,-0.4,.598,.219,.119,3.5,*2/3
