1,Frank Thomas\thomafr04,26,CHW,517,283,145,13.7,110,.336,.353,.270,.487,.342,.729,.430,1.217,.772,212,.849,75.3,6.7,1.453,.647,.376,3.8,*3D
2,Albert Belle\belleal01,27,CLE,480,281,131,12.5,110,.359,.357,.270,.438,.342,.714,.430,1.152,.772,194,.825,59.1,5.3,1.304,.505,.357,14.4,*7/D
3,Ken Griffey*\griffke02,24,SEA,493,307,117,10.2,112,.311,.323,.274,.402,.346,.674,.436,1.076,.782,171,.765,44.4,4.0,1.174,.499,.351,17.3,*8/D9
4,Kenny Lofton*\loftoke01,27,CLE,523,326,111,9.1,110,.373,.349,.270,.412,.342,.536,.430,.948,.772,145,.726,32.5,2.9,1.101,.405,.187,20.0,*8
5,Paul Molitor\molitpa01,37,TOR,516,317,101,8.5,111,.355,.341,.273,.410,.345,.518,.434,.927,.779,138,.701,27.7,2.5,.997,.341,.176,16.5,*D/3
6,Paul O'Neill*\o'neipa01,31,NYY,443,259,100,10.3,108,.378,.359,.268,.460,.339,.603,.426,1.064,.766,177,.770,46.7,4.2,1.152,.443,.245,8.1,*97/D
7,Rafael Palmeiro*\palmera01,29,BAL,498,317,95,8.0,116,.326,.319,.278,.392,.352,.550,.443,.942,.795,136,.678,24.5,2.2,.965,.365,.232,10.7,*3
8,Mo Vaughn*\vaughmo01,26,BOS,463,285,93,8.7,115,.372,.310,.277,.408,.350,.576,.442,.984,.792,147,.711,29.2,2.6,1.039,.411,.266,6.9,*3/D
9,Julio Franco\francju01,35,CHW,505,315,92,7.8,110,.344,.319,.270,.406,.342,.510,.430,.916,.772,137,.667,26.3,2.4,.952,.351,.192,11.4,*D3
10,Will Clark*\clarkwi02,30,TEX,469,273,91,8.9,111,.356,.329,.271,.431,.343,.501,.432,.932,.776,141,.719,28.8,2.6,1.022,.365,.172,7.2,*3/D
11,Chili Davis#\davisch01,34,CAL,468,290,91,8.4,111,.333,.311,.273,.410,.345,.561,.434,.971,.779,148,.695,30.5,2.8,1.025,.429,.250,5.4,*D/7
12,Tony Phillips#\phillto02,35,DET,538,331,91,7.4,111,.328,.281,.273,.409,.345,.468,.434,.877,.779,126,.642,21.3,1.9,.945,.422,.187,15.4,*74/D
13,Jose Canseco\cansejo01,29,TEX,505,338,87,6.9,111,.315,.282,.271,.386,.343,.552,.432,.939,.776,140,.614,26.2,2.4,.946,.448,.270,20.2,*D
14,Kirby Puckett\puckeki01,34,MIN,482,322,84,7.0,111,.314,.317,.273,.362,.345,.540,.434,.902,.779,129,.620,18.8,1.7,.876,.294,.223,9.2,*9D/8
15,Chuck Knoblauch\knoblch01,25,MIN,499,328,81,6.6,111,.346,.312,.273,.381,.345,.461,.434,.841,.779,117,.596,13.2,1.2,.877,.306,.148,8.8,*4/6
16,Wade Boggs*\boggswa01,36,NYY,434,258,80,8.3,108,.345,.342,.268,.433,.339,.489,.426,.922,.766,142,.691,27.0,2.4,.960,.317,.148,3.4,*5/3
