1,Dwight Evans\evansdw01,29,BOS,108,504,34,3,0,14,-4,47,5.2,16,63,6.7,.548,.532,5.2,1.1,49,,Amateur Draft,*9
2,Rickey Henderson\henderi01,22,OAK,108,493,26,3,0,22,-4,47,5.2,16,62,6.6,.548,.532,4.3,2.0,40,$185000,Amateur Draft,*7
3,Buddy Bell\bellbu01,29,TEX,97,415,16,-3,0,27,2,43,4.8,14,57,6.2,.550,.530,3.1,3.3,29,,Traded,*5/6
4,Bobby Grich\grichbo01,32,CAL,100,404,31,-1,-0,4,3,38,4.1,14,52,5.4,.541,.525,5.0,0.8,47,$270000,Free Agency,*4
5,Robin Yount\yountro01,25,MIL,96,411,5,1,1,19,6,32,3.6,14,46,4.9,.537,.522,2.8,2.8,27,,Amateur Draft,*6/D
6,Rick Burleson\burleri01,30,CAL,109,490,9,0,2,10,7,27,3.0,16,43,4.5,.527,.519,3.5,1.8,33,,Traded,*6
7,Dwayne Murphy*\murphdw01,26,OAK,107,477,15,2,1,9,0,26,2.9,15,42,4.4,.527,.518,3.4,1.0,33,,Amateur Draft,*8/D
8,Tom Paciorek\pacioto01,34,SEA,104,452,24,-2,-1,8,-4,26,2.9,15,41,4.3,.527,.518,3.4,0.4,33,$85000,Free Agency,*798
9,Chet Lemon\lemonch01,26,CHW,94,383,24,-3,0,4,0,26,2.8,13,39,4.0,.530,.517,3.7,0.4,35,,Traded,*8
10,Willie Wilson#\wilsowi02,25,KCR,102,465,-0,6,2,20,-3,24,2.7,15,39,4.1,.527,.517,1.9,1.9,19,,Amateur Draft,*78
11,Cecil Cooper*\coopece01,31,MIL,106,453,26,2,-0,4,-6,25,2.7,15,40,4.2,.526,.517,3.9,-0.3,37,,Traded,*3/D
12,Tony Armas\armasto01,27,OAK,109,462,12,2,0,15,-4,24,2.7,16,40,4.2,.525,.517,2.6,1.2,25,$210000,Traded,*9/8
13,Jim Sundberg\sundbji01,30,TEX,102,396,10,-0,0,8,6,24,2.6,14,37,3.9,.526,.516,3.1,1.5,30,,Amateur Draft--no sign,*2/7
14,Lou Whitaker*\whitalo01,24,DET,109,382,2,2,1,14,3,23,2.6,13,36,3.8,.524,.516,2.2,2.0,21,,Amateur Draft,*4
15,Eddie Murray#\murraed02,25,BAL,99,422,24,0,1,2,-6,22,2.4,14,36,3.7,.524,.515,3.6,-0.4,34,,Amateur Draft,*3
16,Steve Kemp*\kempst01,26,DET,105,447,16,3,1,6,-5,21,2.3,15,36,3.8,.522,.514,3.2,0.1,30,$600000,Amateur Draft,*7D
17,Alan Trammell\trammal01,23,DET,105,463,-4,4,0,15,6,21,2.3,15,36,3.8,.522,.514,2.2,2.3,21,,Amateur Draft,*6
18,Carney Lansford\lansfca01,24,BOS,102,438,18,-0,3,1,0,21,2.3,15,36,3.7,.522,.514,3.7,0.1,35,,Traded,*5D
19,Tony Bernazard#\bernato01,24,CHW,106,450,10,1,0,6,3,20,2.2,15,35,3.7,.521,.514,3.1,1.1,29,,Traded,*4/6
20,George Brett*\brettge01,28,KCR,89,379,17,1,1,-1,2,19,2.1,13,32,3.3,.524,.513,3.5,0.0,33,$190000,Amateur Draft,*5
21,Jerry Mumphrey#\mumphje01,28,NYY,80,350,11,-1,1,8,0,19,2.1,12,30,3.2,.526,.513,2.4,0.9,23,,Traded,*8
22,Mike Hargrove*\hargrmi01,31,CLE,94,398,20,1,-1,1,-5,16,1.8,14,30,3.1,.519,.511,3.0,-0.5,29,,Traded,*3/D
23,Rod Carew*\carewro01,35,CAL,93,421,14,-1,0,8,-5,16,1.8,13,29,3.0,.519,.511,2.2,0.2,22,$800000,Traded,*3/D
